Source,Target,Weight_x,Weight_y,Weight
l03115,e1152,0.0589,0.07200000000000001,0.0659
l03115,m869,0.0575,0.0615,0.0636
l03115,z9114,0.0352,0.032,0.0306
l03115,b1920,0.0248,0.0274,0.0264
l03115,k7460,0.0266,0.0255,0.0291
l03115,i96,0.0413,0.0458,0.046
l03115,l02611,0.077,0.0735,0.0823
l03115,l97919,0.0433,0.040999999999999995,0.0453
l03115,e11622,0.0288,0.0302,0.0288
l03115,e11628,0.0895,0.0731,0.0969
l03115,m86171,0.0593,0.0595,0.0703
l03115,i878,0.0684,0.071,0.0689
l03115,i890,0.0796,0.0708,0.0699
l03115,l97929,0.0274,0.0268,0.0307
l03115,l02415,0.0829,0.0825,0.0765
l03116,e1152,0.048,0.0577,0.0647
l03116,m869,0.0493,0.0506,0.0591
l03116,i96,0.0359,0.0348,0.0397
l03116,l97919,0.0289,0.0266,0.0333
l03116,e11628,0.0714,0.0767,0.0864
l03116,l02416,0.0716,0.0844,0.0923
l03116,i878,0.079,0.0822,0.0772
l03116,l02612,0.0678,0.0657,0.0756
l03116,m86172,0.061,0.0615,0.0545
l03116,l97929,0.0513,0.0451,0.0532
e039,e11649,0.0205,0.0236,0.0226
e039,e8342,0.0725,0.0729,0.0643
e039,i110,0.0986,0.1059,0.1
e039,i2510,0.1983,0.1988,0.1907
e039,i4891,0.1094,0.10800000000000001,0.1014
e039,i5032,0.0441,0.048,0.0454
e039,z7902,0.0776,0.0853,0.0905
e039,z794,0.1383,0.1405,0.1374
e039,z79890,0.1936,0.3185,0.3996
e039,z951,0.0694,0.0714,0.0645
e039,z955,0.0875,0.0847,0.0782
e039,f1020,0.013000000000000001,0.0128,0.0135
e039,i4892,0.0239,0.0257,0.0248
e039,i5033,0.0445,0.0471,0.0397
e039,z7901,0.1643,0.1742,0.1677
e039,d649,0.124,0.1232,0.1211
e039,e1142,0.049,0.0481,0.0458
e039,e1151,0.0351,0.0381,0.0373
e039,e669,0.1036,0.0994,0.1136
e039,f17210,0.0802,0.0793,0.0777
e039,g43909,0.0395,0.0348,0.0384
e039,j440,0.0371,0.0532,0.0419
e039,j441,0.0535,0.0646,0.045
e039,j690,0.039,0.0397,0.0366
e039,j9621,0.0531,0.0609,0.0532
e039,z85038,0.0149,0.0137,0.0128
e039,z9981,0.083,0.08,0.0666
e039,e1165,0.0879,0.091,0.0998
e039,e876,0.1471,0.1457,0.1469
e039,h9190,0.0404,0.0395,0.046
e039,i5043,0.0187,0.0199,0.0161
e039,n183,0.1398,0.1452,0.0732
e039,n289,0.0102,0.01,0.0098
e039,n400,0.066,0.0684,0.0658
e039,z7984,0.1138,0.1166,0.1174
e039,a419,0.0722,0.0744,0.071
e039,e46,0.0306,0.024,0.0234
e039,e861,0.027999999999999997,0.0281,0.0294
e039,e871,0.1346,0.1456,0.1473
e039,e878,0.012,0.0124,0.0132
e039,g9340,0.0206,0.0236,0.0236
e039,k529,0.0231,0.0228,0.0219
e039,k567,0.0162,0.0135,0.0148
e039,n319,0.011000000000000001,0.0106,0.0109
e039,n390,0.1258,0.1269,0.1291
e039,z66,0.1436,0.1516,0.1551
e039,z87440,0.0255,0.0246,0.021
e039,z880,0.0784,0.0748,0.0739
e039,z23,0.0409,0.0228,0.038
e039,e872,0.1057,0.1122,0.1142
e039,g9341,0.0716,0.0801,0.0905
e039,i130,0.0787,0.0851,0.0795
e039,i161,0.01,0.0112,0.0104
e039,i959,0.0633,0.0641,0.0649
e039,j189,0.0735,0.1039,0.08199999999999999
